Чек-лист для ручного тестирования «Мобильный хоспис»,,,,,
"Цель: проверить, что все заявленные функции работают корректно.",,,,,
,,,,,
ID,Модуль,Проверка,Ожидаемый результат,Приоритет,Статус
1,Авторизация,Вход с корректными данными (login2/password2),"Успешный вход, открывается главный экран",High,Не выполнено
2,Авторизация,Вход с неверным логином,"Сообщение об ошибке, доступ не предоставлен",High,Не выполнено
3,Авторизация,Вход с неверным паролем,"Сообщение об ошибке, доступ не предоставлен",High,Не выполнено
4,Авторизация,Вход с пустыми полями,Кнопка неактивна или появляется подсказка,Medium,Не выполнено
5,Авторизация,Выход из учётной записи,"Возврат на экран авторизации, сессия сброшена",High,Не выполнено
6,Новости.Управление,Открытие панели управления (Control panel),Открывается Control panel с полным списком новостей,High,Не выполнено
7,Новости.Управление,Создание новости с валидными данными,"Новость появляется в списке Control panel, уведомление об успехе",High,Не выполнено
8,Новости.Управление,Отмена создания новости (кнопка CANCEL),"Форма закрывается, новость не создаётся",Medium,Не выполнено
9,Новости.Управление,Создание новости с пустыми обязательными полями,"Валидация, сохранение не происходит, сообщение об ошибке",Medium,Не выполнено
10,Новости.Управление,Редактирование заголовка новости,Изменения сохраняются и отображаются в списке,High,Не выполнено
11,Новости.Управление,Отмена редактирования (CANCEL),"Изменения не применяются, заголовок остаётся прежним",Medium,Не выполнено
12,Новости.Управление,Удаление новости с подтверждением (OK),Новость исчезает из списка,High,Не выполнено
13,Новости.Управление,Отмена удаления (CANCEL),Новость остаётся в списке,Medium,Не выполнено
14,Новости.Фильтрация и сортировка,Фильтрация по категории,Отображаются только новости выбранной категории,High,Не выполнено
15,Новости.Фильтрация и сортировка,Фильтрация по статусу (Active),Отображаются только активные новости,High,Не выполнено
16,Новости.Фильтрация и сортировка,Фильтрация по статусу (Not active),Отображаются только неактивные новости,High,Не выполнено
17,Новости.Фильтрация и сортировка,Фильтрация по диапазону дат через календарь,Отображаются новости за выбранный период,High,Не выполнено
18,Новости.Фильтрация и сортировка,Негатив: указана только начальная дата,"Появляется сообщение об ошибке, фильтр не применяется",Medium,Не выполнено
19,Новости.Фильтрация и сортировка,Негатив: указана только конечная дата,"Появляется сообщение об ошибке, фильтр не применяется",Medium,Не выполнено
20,Новости.Фильтрация и сортировка,Фильтр не находит новостей,Список пуст или сообщение «Новости не найдены»,Medium,Не выполнено
21,Новости.Фильтрация и сортировка,Отмена фильтра (CANCEL),"Фильтр не применяется, список без изменений",Medium,Не выполнено
22,Новости.Фильтрация и сортировка,Изменение сортировки по дате,Порядок новостей меняется (по возрастанию/убыванию),High,Не выполнено
23,Цитаты,Открытие цитат (значок «бабочка»),Отображаются цитаты (список высказываний),Low,Не выполнено
24,Цитаты,Закрытие цитат,"Цитаты сворачиваются, возврат к исходному виду",Low,Не выполнено
25,Навигация,Переход из Main в News по кнопке «All news»,Открывается экран News,High,Не выполнено
26,Навигация,Системная кнопка «Назад»,"Переход на предыдущий экран, на главном — выход/диалог",High,Не выполнено
27,Навигация,Поворот экрана во время работы приложения,"Интерфейс адаптируется (или экран фиксирован), данные не теряются, приложение не падает",Medium,Не выполнено
28,Жизненный цикл,Сворачивание и разворачивание приложения,"Приложение открывается на том же экране, данные сохранены",Medium,Не выполнено
29,Жизненный цикл,Длительное нахождение в фоне (5 минут),"Приложение не перезапускается, данные сохранены",Medium,Не выполнено
30,Жизненный цикл,Блокировка экрана во время работы приложения,После разблокировки приложение продолжает работу на том же экране,Medium,Не выполнено
31,Прерывания,Входящий звонок во время работы,"Приложение не падает, после звонка продолжает работу на том же экране",Medium,Не выполнено
32,Прерывания,Системное уведомление (низкий заряд),"Приложение не падает, интерфейс не сбивается",Low,Не выполнено
33,Совместимость,Работа на целевой версии Android (API 36),"Приложение запускается, основные сценарии выполняются без ошибок",High,Не выполнено
34,Совместимость,Режим экономии энергии,"Приложение работает стабильно (допустимы замедления), нет вылетов",Low,Не выполнено
35,Инструменты,Проверка отсутствия утечек памяти (профайлер),"Память не растёт бесконечно, после операций возвращается к норме",Medium,Не выполнено
36,Инструменты,Ручной стресс-тест (быстрые переходы между экранами),"Приложение не падает при частых переходах, интерфейс отзывчив",Low,Не выполнено
